year,Lake Rotorua (Kaikoura),Lake Waikare,Lake Ellesmere,Lake Whangape,Wainono Lagoon,Lake Hakanoa
2000,7.25895,6.82612,6.71792,6.51911,6.50197,6.49795
2001,6.94824,6.24579,6.85139,6.71032,6.07168,6.6175
2002,7.2085,6.8925,6.72293,6.13599,6.11649,6.29867
2003,7.01983,6.63987,6.35741,6.68566,6.55291,6.88992
2004,7.23141,6.14654,6.58128,7.16886,5.61802,6.73741
2005,6.91976,6.02401,7.38404,7.11744,5.64633,6.48228
2006,6.27803,5.64786,6.9684,6.53399,5.38289,7.07756
2007,6.45542,6.14577,6.77339,7.04172,6.11611,7.03085
2008,6.2127,5.86083,7.04149,7.08278,5.57159,6.82336
2009,6.31125,5.03215,6.85178,6.84494,5.74037,6.59382
